//E[eV]	TM backward elastic factor
9.29032	1.74321
9.37097	1.74464
9.45161	1.74599
9.53226	1.74727
9.6129	1.74848
9.69355	1.74962
9.77419	1.7507
9.85484	1.75172
9.93548	1.75267
10.0161	1.75351
10.0968	1.75407
10.1774	1.75463
10.2581	1.7552
10.3387	1.75577
10.4194	1.75635
10.5	1.75693
10.5806	1.75752
10.6613	1.75812
10.7419	1.75873
10.8226	1.75934
10.9032	1.75996
10.9839	1.76057
11.0645	1.76118
11.1452	1.76178
11.2258	1.76237
11.3065	1.76293
11.3871	1.76346
11.4677	1.76395
11.5484	1.76439
11.629	1.76476
11.7097	1.76504
11.7903	1.76524
11.871	1.76531
11.9516	1.76525
12.0323	1.76503
12.1129	1.76462
12.1935	1.76399
12.2742	1.76311
12.3548	1.76195
12.4355	1.76045
12.5161	1.75859
12.5968	1.7563
12.6774	1.75354
12.7581	1.75024
12.8387	1.74634
12.9194	1.74176
13	1.73644
